PESQUISADOR,DESCRIÇÃO
Antonio Misson Godoy,"Tsai Shu Tin.
						Caracterização Geológica e Tecnológica das Rochas Movimentadas e Graníticas do Sul do Mato Grosso..
						2005. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Jefferson Cassu Manzano.
						Caracterização Geológica, Petrográfica e Geoquímica dos Granitóides Brasilianos Pós-Tectônicos da Faixa Paraguai..
						2005. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Jefferson Cassu Manzano.
						Caracterização Geológica, Petrográfica e Geoquímica dos Granitóides Brasilianos Pós-Tectônicos da Faixa Paraguai..
						2004. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Adenir Batista Gomes.
						Geoquímica do Maciço Granitóide Ibiína, Caucáia e São Roque..
						1998. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Andreza Oliva.
						Geologia e Geoquímica das Rochas Granitóides da Região de São Pedro da União..
						1998. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Emerson Ricardo Ré.
						Programa de Integração e Revisão Geológica da Zona de Sutura entre os Blocos São Paulo e Brasília. Subprojeto 1.
						1998. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Celia Maria Regina.
						Estudos Geoquímicos do Maciço Sorocaba..
						1994. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Alessandro Batezelli.
						Estudo Geoquímico do Maciço São Francisco..
						1994. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Edson Augusto Vicente.
						Estudo da Zona de Cisalhamento Taxaquara..
						1994. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Ricardo Lisboa Moreira.
						Geologia e Geoquímica dos Maciços Pilar do Sul e Serra dos Lopes..
						1991. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Marcos de Araújo Pinto.
						Geoquímica de Elementos Maiores dos Maciços Granitóides Sorocaba e São Francisco..
						1990. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Isabel Isler Meyer.
						APLICAÇÃO DO SOFTWARE ARCGIS COMO PROGRAMA TESTE NO DESENVOLVIMENTO DE UMA BASE CARTOGRÁFICA GEOFERRENCIADA E DE UM BANCO DE DADOS PARA A REGIÃO SUL DO MATO GROSSO.
						2008.
						Orientação de outra natureza. (Geociências)  - Instituto de Geociências e Ciências Exatas de Rio Claro,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Adilson José Rossini.
						Utilização do Método da Velocidade de Propagação de Ondas Ultra-Sônicas na Caracte-rização das Rochas Ornamentais e de Revestimento.
						2006.
						Orientação de outra natureza. (Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Adílson Rossini.
						Ensaios Tecnológicos de Rochas do Estado do Mato Grosso..
						2004. 0 f.
						Orientação de outra natureza - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Mirtes Irene Ariza Malagutti.
						Técnicas laboratóriais.
						1997. 0 f.
						Orientação de outra natureza - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Vladimir Barbosa Junior.
						Técnicas laboratoriais.
						1997. 0 f.
						Orientação de outra natureza - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Chang Hung Kiang,"SILVA, F. P. ; CHANG, H.K. . Regionalização de diretrizes de utilização e proteção das águas subterrâneas: projeto bacias do leste. In: II Congresso Estadual de Comitês de Bacia Hidrográfica, 2010, São Pedro - SP. II Congresso Estaual de Comitês de Bacia Hidrográfica, 2010."
Chang Hung Kiang,"CHANG, H.K.. Análise de projetos submetidos ao Programa de Inovação Tecnológica em Pequenas Empresas da FAPESP. 2006.
						(Membro do Comitê de Avaliação)."
Chang Hung Kiang,"CHANG, H.K.. Comissão de Avaliação da Solicitação de Promoção para Professor Titular. 2018. Universidade Federal da Bahia."
Chang Hung Kiang,"CHANG, H.K.; SINELLI, O.; SOARES, P. C.. Comissão Especial de avaliação para promoção à Classe de Professor Titular.. 2014. Universidade Federal de Mato Grosso do Sul."
Chang Hung Kiang,"CHANG, H.K.. Comissão Examinadora do concurso para provimento de cargo de Professor Adjunto na área de Hidrogeologia do Departamento de Hidromecânica e Hidrogeologia do Instituto de Pesquisas Hidráulicas da UFRGS.
						2010. Universidade Federal do Rio Grande do Sul."
Chang Hung Kiang,"CHANG, H.K.. Comissão Examinadora do concurso para provimento de cargo de Professor Adjunto na área de Hidrogeologia do Departamento de Hidromecânica e Hidrogeologia do Instituto de Pesquisas Hidráulicas da UFRGS.
						2010. Universidade Federal do Rio Grande do Sul."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora da seleção pública de provas e títulos para preenchimento de uma função docente junto ao Departamento de Geologia e Recursos Naturais, do Instituto de Geociências, Unicamp.
						2010. Universidade Estadual de Campinas."
Chang Hung Kiang,"CHANG, H.K.. Comissão Julgadora de Concurso Público para Professor Assistente da Matéria Geologia do Petróleo do Dept de Geologia e Geofísica Aplicada.
						2009. Universidade Federal da Bahia."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora do concurso público para Professor Assistente da matéria Geologia do Petróleo, do Departamento de Geologia e Geofísica Aplicada do Instituto de Geociências da Universidade Federal da Bahia.
						2009. Universidade Federal da Bahia."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora do concurso público docente, no curso de Gestão Ambiental, área Ciências da Natureza, da EACH, USP.
						2009. Universidade de São Paulo."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora do concurso para professor doutor junto ao Departamento de Mineralogia e Geotectônica, área de conhecimento Tectonofísica Aplicada a Estudos Tectônicos, do IG, USP.
						2008. Universidade de São Paulo."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora do concurso público para provimento de um cargo professor doutor no curso de Gestão Ambiental, área Dinâmica e História da Terra, da EACH, USP.
						2008. Universidade de São Paulo."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora do concurso para professor doutor junto ao Departamento de Geologia Sedimentar e Ambiental área de conhecimento Hidrogeologia.
						2008. Universidade de São Paulo."
Chang Hung Kiang,"CHANG, H.K.. Comissão Examinadora do concurso público para Professor Adjunto do Departamento de Geologia da UFRN.
						2006. Universidade Federal do Rio Grande do Norte."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora do concurso de provimento de um cargo de professor doutor na área de Geologia e Recursos Naturais do Instituto de Geociências da Universidade Estadual de Campinas ? Unicamp..
						2004. Universidade Estadual de Campinas."
Chang Hung Kiang,"CHANG, H.K.. Comissão Julgadora da Seleção Pública para preenchimento de um cargo de Professor Doutor, na disciplina Sedimentologia, Departamento de Geologia e Recursos Naturais ? IG.
						2004. Universidade Estadual de Campinas."
Chang Hung Kiang,"CHANG, H.K.. Comissão de seleção para contratação de um professor assistente nas disciplinas Geologia do Petróleo e Sedimentologia - IG.
						2003. Universidade de São Paulo."
Chang Hung Kiang,"CHANG, HUNG KIAGN; Batezelli, A; Uhlein, A; Ladeira, F S B; Giannini, P C F. Comissão Examinadora do Concurso para obtenção do título de Livre-Docente em Estratigrafia.
					2023. Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"CHANG, H.K.. Comissão Julgadora do Concurso de Provas e Títulos - Profa. Dra. Sueli Y. Pereira.
					2013. Universidade Estadual de Campinas."
Chang Hung Kiang,"CHANG, H.K.. Comissão Julgadora do concurso para obtenção do título de Livre Docente junto ao Departamento de Geologia Sedimentar e Ambiental, IG ? USP.
					2010. Universidade de São Paulo."
Chang Hung Kiang,"CHANG, H.K.; Joel Barbujiani Sigolo; Fábio Taioli; MALAGUTTI FILHO, W. Comissão julgadora do concurso para obtenção de título de Livre Docente junto ao Departamento de Geologia Sedimentar e Ambiental.
					2006. Universidade de São Paulo."
